REP,GENO,LOC,PROT,BC,FE,ZN,CA,MG,STAR,FRUC,GLUC,SUCR,MALT,DM,VW,NOPS,NOCR,NONC,CRW,NCRW,RYTHA,TRW,BIOM,HI,CI,FYTHA,CYTHA
1,6479,La Molina,4.9129734,151.407013,1.3650522,1.1624908,215.9661865,105.8515625,58.3554688,3.7235689,6.3852,19.2000675,0,20.84367246,1.27,3,3,0,1.66,0,24.568,1.66,2.93,56.6552901,100,18.796,24.568
1,6479,Satipo,5.628315,104.716797,1.747159,0.935462,120.1761475,80.0830231,57.6193733,8.5115118,11.7830114,4.7672758,0.7052937,25.86206897,2.04,3,7,6,2.2,0.32,37.296,2.52,4.56,55.26315789,87.3015873,30.192,32.56
1,6480,La Molina,5.5387287,0,1.4449873,1.1827803,55.7612305,73.8924561,68.9359207,1.993083,3.7725592,7.6346331,0,28.60696517,5.08,3,4,15,2.2,0.82,44.696,3.02,8.1,37.28395062,72.84768212,75.184,32.56
1,6480,Satipo,5.1900406,0,1.7526898,1.073854,65.0339355,67.7017365,61.4199448,6.0317926,9.0809116,3.7024109,0.6295223,26.68329177,2.12,3,6,11,2.29,0.43,40.256,2.72,4.84,56.19834711,84.19117647,31.376,33.892
1,6481,La Molina,6.0442276,188.740845,1.7548251,1.2647133,225.3408813,103.8552551,41.526825,14.1146688,20.4944248,6.9362125,0.6575499,14.85148515,1.28,3,4,10,1.02,0.26,18.944,1.28,2.56,50,79.6875,18.944,15.096
1,6481,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,3,14,19,1.83,0.52,34.78,2.35,3.24,72.5308642,77.87234043,13.172,27.084
1,6482,La Molina,6.1460381,11.737671,1.6700568,1.4460282,78.427124,97.1204071,71.7668686,0.8697948,3.228477,4.3928308,0,31.9201995,0.78,3,1,1,0.27,0.05,4.736,0.32,1.1,29.09090909,84.375,11.544,3.996
1,6482,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,3,10,7,2.4,0.33,40.404,2.73,4.84,56.40495868,87.91208791,31.228,35.52
1,6483,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39,3,6,2,1.04,0.13,17.316,1.17,4.56,25.65789474,88.88888889,50.172,15.392
1,6483,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68,3,0,0,0,0,0,0,0.68,0,NA,10.064,0
1,6484,Satipo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.71,3,9,4,1.07,0.11,17.464,1.18,3.89,30.33419023,90.6779661,40.108,15.836
1,6484,La Molina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,3,0,0,0,0,0,0,0.57,0,NA,8.436,0
